시군구별 계약종별별 전력사용량,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,(단위 : kWh),
연도,시도,시군구,계약종별,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,
2019,서울특별시,강남구,가로등,"2,391,855","2,251,037","1,984,145","1,912,942","1,730,482","1,637,739","1,592,624","1,699,378","1,830,197","1,957,715","2,125,555","2,180,705",
2019,서울특별시,강남구,심 야,"1,874,134","1,672,080","1,593,770","2,002,530","4,525,782","6,273,058","8,722,060","9,842,612","6,847,762","3,582,699","1,547,283","1,441,674",
2019,서울특별시,강남구,합 계,"439,163,583","405,216,968","348,300,518","340,424,393","323,331,210","355,916,639","413,985,867","481,722,478","411,759,767","341,156,001","333,967,102","391,714,537",
2019,서울특별시,강동구,주택용,"48,373,875","47,106,541","40,884,133","43,247,534","40,257,142","41,840,686","46,725,097","63,616,635","52,957,086","43,179,919","44,599,975","48,162,600",
2019,서울특별시,강동구,일반용,"73,727,240","68,277,538","56,969,941","55,055,486","51,635,894","57,506,974","65,169,203","75,258,458","65,780,924","54,147,007","52,262,752","61,996,499",
2019,서울특별시,강동구,교육용,"4,033,306","3,492,669","2,716,785","2,656,876","1,737,969","2,002,395","2,617,206","2,198,061","2,704,880","1,964,702","2,235,524","3,905,405",
2019,서울특별시,강동구,산업용,"14,933,849","13,119,833","13,853,564","13,560,874","13,542,586","13,981,434","15,379,422","15,692,624","14,346,640","14,335,396","14,009,082","14,388,451",
2019,서울특별시,강동구,농사용,"172,032","164,200","131,292","122,287","96,021","91,500","91,701","102,452","101,852","80,911","92,491","139,815",
2019,서울특별시,강동구,가로등,"1,007,332","901,370","780,593","772,823","699,878","658,760","630,854","674,641","724,942","839,864","899,662","970,037",
2019,서울특별시,강동구,심 야,"742,010","662,824","472,904","400,154","593,008","674,585","1,050,588","1,051,264","751,321","265,737","220,938","402,314",
2019,서울특별시,강동구,합 계,"142,989,644","133,724,975","115,809,212","115,816,034","108,562,498","116,756,334","131,664,071","158,594,135","137,367,645","114,813,536","114,320,424","129,965,121",
2019,서울특별시,송파구,주택용,"80,764,392","79,330,668","69,426,577","73,335,474","68,329,071","71,036,757","77,708,147","104,191,989","89,962,185","70,682,142","71,871,570","75,116,740",
2019,서울특별시,송파구,일반용,"159,642,499","144,069,776","116,080,464","113,860,475","113,952,092","125,535,725","143,971,329","161,850,990","141,011,043","119,117,072","111,879,796","128,352,371",
2019,서울특별시,송파구,교육용,"6,990,852","6,133,252","5,223,415","4,946,056","3,319,339","3,663,397","4,578,243","4,325,794","4,916,757","3,790,437","3,752,366","6,447,826",
2019,서울특별시,송파구,산업용,"18,160,142","17,106,229","16,828,628","17,416,098","17,127,124","18,282,692","18,620,710","20,416,273","18,603,171","17,532,183","17,109,342","17,408,114",
2019,서울특별시,송파구,농사용,"264,490","222,914","192,010","178,477","192,787","201,793","222,154","240,453","221,723","193,098","202,121","252,092",
2019,서울특별시,송파구,가로등,"1,929,245","1,810,620","1,561,345","1,544,563","1,374,830","1,300,286","1,251,614","1,350,633","1,474,947","1,570,395","1,732,521","1,773,152",
2019,서울특별시,송파구,심 야,"908,727","836,603","880,641","1,312,077","2,899,956","4,028,620","5,677,676","6,051,286","4,501,202","3,093,981","1,064,529","952,356",
2019,서울특별시,송파구,합 계,"268,660,347","249,510,062","210,193,080","212,593,220","207,195,199","224,049,270","252,029,873","298,427,418","260,691,028","215,979,308","207,612,245","230,302,651",
2019,서울특별시,중랑구,주택용,"46,440,090","44,883,990","39,409,660","40,784,256","37,884,480","38,793,507","42,769,152","57,025,511","48,362,098","38,864,592","39,704,624","42,407,943",
2019,서울특별시,중랑구,일반용,"45,624,613","43,117,961","35,714,669","35,321,412","32,844,612","36,367,492","40,662,991","47,885,319","42,929,341","34,887,368","33,367,271","39,363,758",
2019,서울특별시,중랑구,교육용,"3,629,784","3,131,198","2,520,500","2,501,189","1,614,389","1,764,426","2,092,337","1,917,297","2,247,719","1,686,399","1,837,589","3,365,217",
2019,서울특별시,중랑구,산업용,"7,197,554","7,067,920","6,054,960","5,995,094","5,247,452","5,350,610","5,836,889","7,041,138","6,765,023","5,732,183","5,554,968","6,129,043",
2019,서울특별시,중랑구,농사용,"30,289","30,990","22,837","21,742","21,007","23,764","23,831","24,726","29,584","22,223","22,409","28,015",
2019,서울특별시,중랑구,가로등,"1,063,040","991,573","942,336","861,075","805,425","769,875","760,738","780,086","846,823","909,553","988,937","1,065,856",
2019,서울특별시,중랑구,심 야,"599,154","568,885","443,764","394,667","369,911","408,018","579,439","593,953","515,363","226,064","230,153","393,308",
2019,서울특별시,중랑구,합 계,"104,584,524","99,792,517","85,108,726","85,879,435","78,787,276","83,477,692","92,725,377","115,268,030","101,695,951","82,328,382","81,705,951","92,753,140",
2019,서울특별시,노원구,주택용,"60,165,126","58,834,446","51,013,690","53,927,413","49,696,333","50,808,254","55,368,628","72,665,165","60,869,129","50,470,650","52,781,007","55,450,151",
2019,서울특별시,노원구,일반용,"60,311,846","56,085,716","47,582,586","46,322,822","43,940,610","48,210,377","54,415,953","62,762,587","56,757,748","46,743,549","44,564,396","52,142,499",
2019,서울특별시,노원구,교육용,"13,781,999","11,728,148","10,212,048","9,858,786","7,534,816","8,256,695","9,064,360","9,412,720","9,579,774","7,885,836","8,490,076","12,744,543",
2019,서울특별시,노원구,산업용,"6,769,719","6,215,447","5,896,712","5,708,332","5,816,976","5,887,279","6,278,513","6,781,714","6,485,194","6,371,322","6,166,894","6,432,686",
2019,서울특별시,노원구,농사용,"30,439","29,509","27,202","29,620","26,716","26,874","28,117","28,189","26,317","26,275","27,860","31,052",
2019,서울특별시,노원구,가로등,"1,319,785","1,268,824","1,179,279","1,144,220","1,077,094","1,017,416","991,571","998,619","1,057,630","1,114,225","1,200,533","1,252,251",
2019,서울특별시,노원구,심 야,"1,059,491","1,020,657","795,203","602,810","450,900","546,735","730,182","793,443","526,304","316,846","406,943","790,823",
2019,서울특별시,노원구,합 계,"143,438,405","135,182,747","116,706,720","117,594,003","108,543,445","114,753,630","126,877,324","153,442,437","135,302,096","112,928,703","113,637,709","128,844,005",
