시군구별 용도업종별 전력사용량,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,(단위 : kWh),
연도,시도,시군구,업종별,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,
2017,서울특별시,성동구,기타  기계,"2,004,157","2,005,490","1,774,243","1,588,487","1,389,238","1,533,505","1,689,504","1,768,017","1,622,586","1,301,536","1,467,047","1,915,173",
2017,서울특별시,성동구,사무  기기,"15,357","15,818","13,387","10,189","6,616","7,331","9,346","11,622","8,808","6,186","8,192","13,253",
2017,서울특별시,성동구,전기  기기,"414,296","438,517","371,970","332,273","244,892","291,441","337,321","342,443","329,049","238,005","287,565","392,897",
2017,서울특별시,성동구,영상. 음향,"2,740,330","2,138,879","530,002","306,965","186,929","141,979","165,627","176,928","163,875","124,716","140,767","214,153",
2017,서울특별시,성동구,의료. 광학,"843,690","830,340","735,098","693,458","672,192","762,781","871,528","867,260","827,900","597,842","689,807","867,653",
2017,서울특별시,성동구,자  동  차,"437,742","447,400","378,496","328,949","257,486","249,834","246,279","260,344","261,106","227,830","313,631","445,271",
2017,서울특별시,성동구,기타  운송,767,560,381,325,290,741,"3,074","3,235","2,104","1,160","1,623","4,134",
2017,서울특별시,성동구,가구및기타,"637,111","641,632","568,254","517,835","440,846","501,233","566,042","577,796","524,041","417,909","498,645","635,082",
2017,서울특별시,성동구,재생  재료,934,"1,051","1,283","1,033",749,609,418,540,524,429,508,329,
2017,서울특별시,성동구,수      도,"3,707,982","3,388,676","3,543,058","3,249,754","3,527,923","4,141,595","5,504,654","5,317,920","5,062,740","5,074,190","4,774,745","4,924,824",
2017,서울특별시,성동구,사업자  용,"368,974","358,636","293,914","293,051","250,277","268,529","305,537","368,240","313,504","256,431","279,024","314,950",
2017,서울특별시,성동구,전      철,"451,496","393,979","432,610","373,612","410,310","15,495,082","17,069,482","19,780,368","17,262,486","15,378,853","16,117,514","15,952,601",
2017,서울특별시,성동구,가정용부문,"35,388,596","36,034,132","31,327,382","32,641,773","30,403,939","31,679,441","36,799,717","45,802,123","36,073,939","30,828,179","32,205,544","34,951,153",
2017,서울특별시,성동구,국  군  용,"36,449","43,178","32,913","26,471","16,709","16,797","18,139","18,168","17,754","15,275","19,740","32,333",
2017,서울특별시,성동구,기타공공용,"7,200,395","6,914,295","6,669,926","5,683,943","5,329,297","6,227,635","7,374,272","7,178,644","6,718,603","4,986,262","5,993,733","8,155,836",
2017,서울특별시,성동구,관  공  용,"17,966,124","18,095,639","15,633,345","16,654,973","15,579,022","17,601,458","20,147,038","23,531,930","20,698,230","18,048,084","19,299,053","19,425,363",
2017,서울특별시,성동구,순수써비스,"64,485,484","65,209,417","56,955,523","51,664,501","48,782,679","54,789,034","64,805,884","69,877,492","60,323,852","49,917,228","52,125,442","65,423,969",
2017,서울특별시,성동구,합 계,"171,450,137","170,917,267","152,434,962","146,127,752","136,205,125","164,552,980","188,727,859","209,258,983","183,580,877","156,985,989","165,651,679","188,695,868",
2017,서울특별시,동대문구,농업. 임업,"19,619","22,184","30,026","26,500","17,320","18,288","22,474","24,633","20,936","15,969","16,808","21,515",
2017,서울특별시,동대문구,어      업,-,-,-,-,-,-,407,573,358,416,819,"1,373",
2017,서울특별시,동대문구,석탄. 원유,-,-,-,-,-,"1,791",-,-,-,-,-,-,
2017,서울특별시,동대문구,금속비금속,"9,433","10,062","7,992","5,747","4,248","5,242","6,345","6,919","5,888","4,134","5,578","8,662",
2017,서울특별시,동대문구,식료품제조,"607,649","615,893","538,742","543,446","521,362","580,960","606,784","630,941","626,211","551,179","553,399","587,381",
2017,서울특별시,동대문구,음료품제조,"1,423","1,569","1,214","1,178","1,028",-,983,"1,155",935,"1,925","3,759","4,770",
