,연도,시도,시군구,계약종별,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1221,2017,전라북도,남원시,농사용,9461008,10711879,9450955,9003637,7622314,8525479,8638137,11067047,9872037,7864267,8736331,15767436
1222,2017,전라북도,남원시,가로등,1373304,1251973,1212141,1243933,1210753,1232214,1145150,1171652,1211155,1204987,1245913,1216757
1223,2017,전라북도,남원시,심 야,7024120,7662291,6067607,4873421,2804638,1693980,1158955,966699,1042021,1749919,3566046,6019739
1224,2017,전라북도,남원시,합 계,56003661,57931155,52142902,50547350,43905686,44419175,45871908,52349718,46843671,41896733,48744678,62537662
1225,2017,전라북도,김제시,주택용,9332304,9552887,8158388,8564667,8041120,7985730,8701440,10569237,8747658,8147540,8500766,9078779
1226,2017,전라북도,김제시,일반용,14890236,15479654,13284995,12818858,10953063,11392451,12981944,15285049,13290956,11070320,12028220,14833309
1227,2017,전라북도,김제시,교육용,1224724,1188489,1147494,1320950,768024,719810,855870,860490,850889,632211,806882,1315723
1228,2017,전라북도,김제시,산업용,35251582,33836634,34056661,34351532,32404774,33866709,34433582,33552320,35383643,30024953,36041671,36429433
1229,2017,전라북도,김제시,농사용,19069084,20076592,16526426,14802133,13165539,14234400,13231514,17621984,14288103,11816360,21895330,21525364
1230,2017,전라북도,김제시,가로등,839557,751009,709552,650057,602577,565653,572526,606577,659638,755110,810929,863993
1231,2017,전라북도,김제시,심 야,12340565,13598640,10600326,8643057,4629919,2649656,1661770,1335719,1507187,2557665,5593571,10166140
1232,2017,전라북도,김제시,합 계,92948052,94483905,84483842,81151254,70565016,71414409,72438646,79831376,74728074,65004159,85677369,94212741
1233,2017,전라북도,완주군,주택용,10126501,10187078,8787757,9363607,8640116,8676651,9333259,11724889,9829818,8770952,9345175,9993810
1234,2017,전라북도,완주군,일반용,19629652,19712713,17121406,15905710,14600332,15215902,18759617,20720147,17482200,14823512,16698424,20200382
1235,2017,전라북도,완주군,교육용,2352888,2291156,2194951,2280586,1455531,1507994,1744581,1782286,1718010,1380502,1684623,2790736
1236,2017,전라북도,완주군,산업용,91825474,90372029,95257803,89070878,86917999,91876250,96135431,91542282,92976971,78021933,92465253,93849653
1237,2017,전라북도,완주군,농사용,10558879,11219586,10025889,7638354,6370689,6977023,7579744,9527499,8693901,7207109,11579341,10414896
1238,2017,전라북도,완주군,가로등,1831594,1749426,1705479,1707071,1640671,1750437,1681525,1738701,1796716,1820326,1864603,1887275
1239,2017,전라북도,완주군,심 야,13595453,15048981,11842922,9504546,5069154,2968529,1891077,1540901,1749636,2842262,6381491,11914892
1240,2017,전라북도,완주군,합 계,149920441,150580969,146936207,135470752,124694492,128972786,137125234,138576705,134247252,114866596,140018910,151051644
1241,2017,전라북도,진안군,주택용,2487309,2558928,2164134,2349668,2201809,2180232,2166870,2482713,2265658,2240370,2359132,2464393
1242,2017,전라북도,진안군,일반용,4355365,4504730,3811844,3620136,3050290,3005857,3173223,3670695,3303492,2970899,3448721,4224026
1243,2017,전라북도,진안군,교육용,375300,366314,333684,380799,223654,200399,212570,212687,221569,166725,278129,451169
1244,2017,전라북도,진안군,산업용,3057498,2937987,2796057,2787363,2666317,2735177,2756613,2825760,2813631,2590883,3013776,3189441
1245,2017,전라북도,진안군,농사용,4671214,4570977,4024162,3534486,2964736,3202095,3670893,4614435,5154238,4352200,5486573,4865872
1246,2017,전라북도,진안군,가로등,780162,742768,736866,727297,722892,728718,698404,713200,730884,762048,792315,792897
1247,2017,전라북도,진안군,심 야,4380045,4901751,3771470,3161792,1815255,1082330,685370,533622,635223,1088486,2093270,3698123
1248,2017,전라북도,진안군,합 계,20106893,20583455,17638217,16561541,13644953,13134808,13363943,15053112,15124695,14171611,17471916,19685921
1249,2017,전라북도,무주군,주택용,2671386,2764121,2357798,2514929,2355728,2363070,2405256,2740089,2470170,2427252,2534939,2640449
1250,2017,전라북도,무주군,일반용,11645892,9651720,6960621,5672898,5098809,5432104,5956633,6644789,5853196,5265937,7089332,11327676
1251,2017,전라북도,무주군,교육용,458686,444416,454448,405933,259731,252579,321648,293910,287266,244585,371381,592814
1252,2017,전라북도,무주군,산업용,2117099,2063439,1935844,1857223,1778890,1852868,1834406,1964431,2009224,1939894,2465672,2602272
1253,2017,전라북도,무주군,농사용,1548364,1520476,1372491,1419572,1431456,1911018,1896599,2091776,2485780,1944377,2178905,1702503
